Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
11699,Ketoprofeno,"Ketoprofeno 2,5 g",g,Tubo,Ketoprofeno,Genfar,"Ketoprofeno (Genfar) - Tubo 60 g - Cada 100 g contiene: Ketoprofeno 2,5 g",Institucional,3852.802066,Bajo,1
11700,Azitromicina,Azitromicina 500 mg,mg,Tableta,Azitromicina,Genfar,Azitromicina (Genfar) - Cada Tableta contiene: Azitromicina 500 mg,Comercial,2460.764272,Medio,2
11700,Azitromicina,Azitromicina 500 mg,mg,Tableta,Azitromicina,Genfar,Azitromicina (Genfar) - Cada Tableta contiene: Azitromicina 500 mg,Institucional,707.1738267,Medio,2
11701,Azitromicina,Azitromicina 200 mg,ml,Frasco,Azitromicina,Genfar,Azitromicina (Genfar) - Frasco 15 ml - Cada 5 ml contiene: Azitromicina 200 mg,Comercial,11438.59333,Bajo,1
11701,Azitromicina,Azitromicina 200 mg,ml,Frasco,Azitromicina,Genfar,Azitromicina (Genfar) - Frasco 15 ml - Cada 5 ml contiene: Azitromicina 200 mg,Institucional,4489.110307,Bajo,1
11849,Cetirizina,Cetirizina 10 mg,mg,Tableta,Alerviden,Biochem,Alerviden (Biochem) - Cada Tableta contiene: Cetirizina 10 mg,Institucional,1988.48362,Alto,3
11878,Tiopental,Tiopental 1 g,g,Vial,Tiopental,Feparvi,Tiopental (Feparvi) - Cada Vial contiene: Tiopental 1 g,Institucional,570.6666667,Medio,2
11878,Tiopental,Tiopental 1 g,g,Vial,Tiopental,Feparvi,Tiopental (Feparvi) - Cada Vial contiene: Tiopental 1 g,Comercial,507.0588235,Medio,2
11879,Pancuronio,Pancuronio 4 mg,ml,Ampolla,Bromuro De Pancuronio,Feparvi,Bromuro De Pancuronio (Feparvi) - Ampolla 2 ml - Cada 2 ml contiene: Pancuronio 4 mg,Institucional,450,Medio,2
11879,Pancuronio,Pancuronio 4 mg,ml,Ampolla,Bromuro De Pancuronio,Feparvi,Bromuro De Pancuronio (Feparvi) - Ampolla 2 ml - Cada 2 ml contiene: Pancuronio 4 mg,Comercial,522.7272727,Medio,2
12888,Salbutamol,Salbutamol 40 mg,ml,Frasco,Salbutamol,Memphis,Salbutamol (Memphis) - Frasco 120 ml - Cada 100 ml contiene: Salbutamol 40 mg,Comercial,3583.835714,Medio,2
13358,Hierro Sacarosa,Hierro Sacarosa 100 mg,ml,Ampolla,Venofer,Vifor,Venofer (Vifor) - Ampolla 5 ml - Cada 5 ml contiene: Hierro Sacarosa 100 mg,Comercial,236943,Alto,3
13358,Hierro Sacarosa,Hierro Sacarosa 100 mg,ml,Ampolla,Venofer,Vifor,Venofer (Vifor) - Ampolla 5 ml - Cada 5 ml contiene: Hierro Sacarosa 100 mg,Institucional,19577.77617,Alto,3
13854,Medroxiprogesterona Y Estradiol,Estradiol 5 mg + Acetato De Medroxiprogesterona 25 mg,ml,Ampolla,Cyclofem,Profamilia,"Cyclofem (Profamilia) - Ampolla 0,5 ml - Cada 0,5 ml contiene: Estradiol 5 mg + Acetato De Medroxiprogesterona 25 mg",Institucional,233.5242105,Medio,2
13874,Alprazolam,"Alprazolam 0,25 mg",mg,Tableta,Xanax,Pfizer,"Xanax (Pfizer) - Cada Tableta contiene: Alprazolam 0,25 mg",Comercial,1716,Medio,2
13874,Alprazolam,"Alprazolam 0,25 mg",mg,Tableta,Xanax,Pfizer,"Xanax (Pfizer) - Cada Tableta contiene: Alprazolam 0,25 mg",Institucional,1066.48318,Medio,2
14446,Claritromicina,Claritromicina 500 mg,mg,Tableta,Claritromicina,La Sante,Claritromicina (La Sante) - Cada Tableta contiene: Claritromicina 500 mg,Comercial,3112.160831,Medio,2
14446,Claritromicina,Claritromicina 500 mg,mg,Tableta,Claritromicina,La Sante,Claritromicina (La Sante) - Cada Tableta contiene: Claritromicina 500 mg,Institucional,12.942,Bajo,1
14958,Cetirizina,Cetirizina 10 mg,mg,Capsula,Alercet,Procaps,Alercet (Procaps) - Cada Capsula contiene: Cetirizina 10 mg,Comercial,6719.61823,Alto,3
14958,Cetirizina,Cetirizina 10 mg,mg,Capsula,Alercet,Procaps,Alercet (Procaps) - Cada Capsula contiene: Cetirizina 10 mg,Institucional,728.6493655,Medio,2
15875,Trimebutina,Trimebutina 200 mg,mg,Tableta,Trimebutina,Colmed,Trimebutina (Colmed) - Cada Tableta contiene: Trimebutina 200 mg,Comercial,506.4018161,Medio,2
15875,Trimebutina,Trimebutina 200 mg,mg,Tableta,Trimebutina,Colmed,Trimebutina (Colmed) - Cada Tableta contiene: Trimebutina 200 mg,Institucional,470,Medio,2
16436,Deferoxamina,Deferoxamina 500 mg,mg,Vial,Desferal,Novartis,Desferal (Novartis) - Cada Vial contiene: Deferoxamina 500 mg,Institucional,19905,Medio,2
16478,Omeprazol,Omeprazol 20 mg,mg,Capsula,Omeprazol,Genfar,Omeprazol (Genfar) - Cada Capsula contiene: Omeprazol 20 mg,Comercial,229.5269746,Medio,2
16478,Omeprazol,Omeprazol 20 mg,mg,Capsula,Omeprazol,Genfar,Omeprazol (Genfar) - Cada Capsula contiene: Omeprazol 20 mg,Institucional,99.96243386,Medio,2
16779,Ambroxol,Ambroxol 15 mg,ml,Frasco,Ambroxol,Tecnofar,Ambroxol (Tecnofar) - Frasco 120 ml - Cada 5 ml contiene: Ambroxol 15 mg,Comercial,7221.086218,Medio,2
16779,Ambroxol,Ambroxol 15 mg,ml,Frasco,Ambroxol,Tecnofar,Ambroxol (Tecnofar) - Frasco 120 ml - Cada 5 ml contiene: Ambroxol 15 mg,Institucional,3443.217391,Medio,2
16806,Clindamicina,Clindamicina 300 mg,mg,Capsula,Clindamicina,La Sante,Clindamicina (La Sante) - Cada Capsula contiene: Clindamicina 300 mg,Comercial,1955.878578,Alto,3
16806,Clindamicina,Clindamicina 300 mg,mg,Capsula,Clindamicina,La Sante,Clindamicina (La Sante) - Cada Capsula contiene: Clindamicina 300 mg,Institucional,527.1507761,Medio,2
16815,Cetirizina,Cetirizina 10 mg,mg,Tableta,Cetirizina,La Sante,Cetirizina (La Sante) - Cada Tableta contiene: Cetirizina 10 mg,Comercial,476.1756318,Medio,2
16815,Cetirizina,Cetirizina 10 mg,mg,Tableta,Cetirizina,La Sante,Cetirizina (La Sante) - Cada Tableta contiene: Cetirizina 10 mg,Institucional,32.24734982,Bajo,1
17135,Trazodona,Trazodona 50 mg,mg,Tableta,Trazodona,Winthrop,Trazodona (Winthrop) - Cada Tableta contiene: Trazodona 50 mg,Comercial,1030.9315,Medio,2
17135,Trazodona,Trazodona 50 mg,mg,Tableta,Trazodona,Winthrop,Trazodona (Winthrop) - Cada Tableta contiene: Trazodona 50 mg,Institucional,66.08738859,Bajo,1
17144,Amitriptilina,Amitriptilina 25 mg,mg,Tableta,Amitriptilina,Genfar,Amitriptilina (Genfar) - Cada Tableta contiene: Amitriptilina 25 mg,Comercial,303.4302814,Medio,2
17144,Amitriptilina,Amitriptilina 25 mg,mg,Tableta,Amitriptilina,Genfar,Amitriptilina (Genfar) - Cada Tableta contiene: Amitriptilina 25 mg,Institucional,22.49526565,Bajo,1
17145,Naproxeno,Naproxeno 250 mg,mg,Tableta,Naproxeno,Genfar,Naproxeno (Genfar) - Cada Tableta contiene: Naproxeno 250 mg,Comercial,390.2350859,Medio,2
17145,Naproxeno,Naproxeno 250 mg,mg,Tableta,Naproxeno,Genfar,Naproxeno (Genfar) - Cada Tableta contiene: Naproxeno 250 mg,Institucional,66.81764567,Bajo,1
19237,Zidovudina,Zidovudina 200 mg,mg,Vial,Retrovir,Glaxosmithkline,Retrovir (Glaxosmithkline) - Vial 20 mg - Cada 20 ml contiene: Zidovudina 200 mg,Institucional,62779.76119,Medio,2
19509,Tramadol,Tramadol 50 mg,mg,Capsula,Tramal,Grunenthal,Tramal (Grunenthal) - Cada Capsula contiene: Tramadol 50 mg,Comercial,4386.331034,Alto,3
19509,Tramadol,Tramadol 50 mg,mg,Capsula,Tramal,Grunenthal,Tramal (Grunenthal) - Cada Capsula contiene: Tramadol 50 mg,Institucional,2422.698077,Alto,3
19510,Tramadol,Tramadol 100 mg,ml,Ampolla,Tramal,Grunenthal,Tramal (Grunenthal) - Ampolla 2 ml - Cada 2 ml contiene: Tramadol 100 mg,Comercial,13511.43636,Alto,3
19510,Tramadol,Tramadol 100 mg,ml,Ampolla,Tramal,Grunenthal,Tramal (Grunenthal) - Ampolla 2 ml - Cada 2 ml contiene: Tramadol 100 mg,Institucional,6952.787879,Alto,3
19512,Tramadol,Tramadol 50 mg,ml,Ampolla,Tramal,Grunenthal,Tramal (Grunenthal) - Ampolla 1 ml - Cada 1 ml contiene: Tramadol 50 mg,Comercial,7238.761431,Medio,2
19512,Tramadol,Tramadol 50 mg,ml,Ampolla,Tramal,Grunenthal,Tramal (Grunenthal) - Ampolla 1 ml - Cada 1 ml contiene: Tramadol 50 mg,Institucional,3501.544218,Alto,3
19513,Tramadol,Tramadol 100 mg,ml,Frasco,Tramal,Grunenthal,Tramal (Grunenthal) - Frasco 10 ml - Cada 1 ml contiene: Tramadol 100 mg,Comercial,87456.44785,Alto,3
19513,Tramadol,Tramadol 100 mg,ml,Frasco,Tramal,Grunenthal,Tramal (Grunenthal) - Frasco 10 ml - Cada 1 ml contiene: Tramadol 100 mg,Institucional,7988.248503,Alto,3
19547,Mentol + Alcanfor + Salicilato De Metilo,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Frasco,Ungüento Mentol No. 2,Tecnofar,Ungüento Mentol No. 2 (Tecnofar) - Frasco 50 g - Cada 100 g contiene: Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,Comercial,24051.28146,Alto,3
19547,Mentol + Alcanfor + Salicilato De Metilo,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Frasco,Ungüento Mentol No. 2,Tecnofar,Ungüento Mentol No. 2 (Tecnofar) - Frasco 10 g - Cada 100 g contiene: Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,Comercial,6630.531698,Bajo,1
19547,Mentol + Alcanfor + Salicilato De Metilo,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Frasco,Ungüento Mentol No. 2,Tecnofar,Ungüento Mentol No. 2 (Tecnofar) - Frasco 20 g - Cada 100 g contiene: Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,Comercial,9956.627092,Medio,2
19721,Acetaminofen + Clorfeniramina + Fenilefrina,Acetaminofen 500 mg + Maleato De Clorfeniramina 2 mg + Fenilefrina 10 mg,g,Sobre,Pax Caliente Noche,Sanofi Aventis,Pax Caliente Noche (Sanofi Aventis) - Cada Sobre contiene: Acetaminofen 500 mg + Maleato De Clorfeniramina 2 mg + Fenilefrina 10 mg,Comercial,1815,Medio,2
19763,Algestona Y Estradiol,Estradiol 10 mg + Algestona Acetofenido 150 mg,mg,Ampolla,Synovular,Lafrancol,Synovular (Lafrancol) - Ampolla 1 mg - Cada 1 ml contiene: Estradiol 10 mg + Algestona Acetofenido 150 mg,Comercial,20167.07437,Medio,2
1980019,Metoclopramida,Metoclopramida 10 mg,mg,Tableta,Metoclopramida,Pentacoop,Metoclopramida (Pentacoop) - Cada Tableta contiene: Metoclopramida 10 mg,Comercial,117.1963225,Medio,2
1980019,Metoclopramida,Metoclopramida 10 mg,mg,Tableta,Metoclopramida,Pentacoop,Metoclopramida (Pentacoop) - Cada Tableta contiene: Metoclopramida 10 mg,Institucional,0.4155778894,Bajo,1
1980020,Ibuprofeno,Ibuprofeno 800 mg,mg,Tableta,Ibuprofeno,Genfar,Ibuprofeno (Genfar) - Cada Tableta contiene: Ibuprofeno 800 mg,Comercial,238.3034485,Medio,2
1980020,Ibuprofeno,Ibuprofeno 800 mg,mg,Tableta,Ibuprofeno,Genfar,Ibuprofeno (Genfar) - Cada Tableta contiene: Ibuprofeno 800 mg,Institucional,124.4648764,Bajo,1
1980027,Tinidazol,Tinidazol 500 mg,mg,Tableta,Tinidazol,Tecnoquimicas,Tinidazol (Tecnoquimicas) - Cada Tableta contiene: Tinidazol 500 mg,Comercial,541.2747873,Alto,3
1980027,Tinidazol,Tinidazol 500 mg,mg,Tableta,Tinidazol,Tecnoquimicas,Tinidazol (Tecnoquimicas) - Cada Tableta contiene: Tinidazol 500 mg,Institucional,278.4006515,Alto,3
1980037,Sulfametoxazol Y Trimetoprim,Sulfametoxazol 4000 mg + Trimetoprim 800 mg,ml,Frasco,Trimetoprim,Genfar,Trimetoprim (Genfar) - Frasco 120 ml - Cada 100 ml contiene: Sulfametoxazol 4000 mg + Trimetoprim 800 mg,Comercial,6758.429003,Alto,3
1980084,Cetirizina,Cetirizina 1 mg,ml,Frasco,Alerviden,Biochem,Alerviden (Biochem) - Frasco 50 ml - Cada 1 ml contiene: Cetirizina 1 mg,Institucional,13929.83041,Medio,2
1980165,Claritromicina,Claritromicina 250 mg,g,Frasco,Claritromicina,La Sante,Claritromicina (La Sante) - Frasco 35 g - Cada 5 ml contiene: Claritromicina 250 mg,Comercial,72838.48297,Alto,3
1980165,Claritromicina,Claritromicina 250 mg,g,Frasco,Claritromicina,La Sante,Claritromicina (La Sante) - Frasco 35 g - Cada 5 ml contiene: Claritromicina 250 mg,Institucional,12971.05162,Bajo,1
1980184,Budesonida,"Budesonida 0,5 mg",ml,Ampolla,Pulmicort,Astrazeneca,"Pulmicort (Astrazeneca) - Ampolla 2 ml - Cada 2 ml contiene: Budesonida 0,5 mg",Institucional,10912.2,Medio,2
1980184,Budesonida,"Budesonida 0,5 mg",ml,Ampolla,Pulmicort,Astrazeneca,"Pulmicort (Astrazeneca) - Ampolla 2 ml - Cada 2 ml contiene: Budesonida 0,5 mg",Comercial,10912.2,Medio,2
1980347,Escherichia Coli,Escherichia Coli 6 mg,mg,Capsula,Uro-Vaxom,Om,Uro-Vaxom (Om) - Cada Capsula contiene: Escherichia Coli 6 mg,Comercial,7822.915359,Medio,2
1980347,Escherichia Coli,Escherichia Coli 6 mg,mg,Capsula,Uro-Vaxom,Om,Uro-Vaxom (Om) - Cada Capsula contiene: Escherichia Coli 6 mg,Institucional,3845.584391,Medio,2
1980366,Simeticona,Simeticona 250 mg,mg,Capsula,Digesta,Procaps,Digesta (Procaps) - Cada Capsula contiene: Simeticona 250 mg,Comercial,883.7351345,Medio,2
1980366,Simeticona,Simeticona 250 mg,mg,Capsula,Digesta,Procaps,Digesta (Procaps) - Cada Capsula contiene: Simeticona 250 mg,Institucional,326.5019577,Medio,2
1980395,Piperazina,Piperazina 20 g,ml,Frasco,Epulsarina,Cosmetipharma,Epulsarina (Cosmetipharma) - Frasco 60 ml - Cada 100 ml contiene: Piperazina 20 g,Comercial,11684.21053,Medio,2
1980397,Levodopa Y Carbidopa,Levodopa 250 mg + Carbidopa 25 mg,mg,Tableta,Carbidopa,Winthrop,Carbidopa (Winthrop) - Cada Tableta contiene: Levodopa 250 mg + Carbidopa 25 mg,Comercial,1590.113355,Alto,3
1980397,Levodopa Y Carbidopa,Levodopa 250 mg + Carbidopa 25 mg,mg,Tableta,Carbidopa,Winthrop,Carbidopa (Winthrop) - Cada Tableta contiene: Levodopa 250 mg + Carbidopa 25 mg,Institucional,216.9904138,Bajo,1
1980471,Clozapina,Clozapina 25 mg,mg,Tableta,Leponex,Mylan,Leponex (Mylan) - Cada Tableta contiene: Clozapina 25 mg,Comercial,1750,Alto,3
1980471,Clozapina,Clozapina 25 mg,mg,Tableta,Leponex,Mylan,Leponex (Mylan) - Cada Tableta contiene: Clozapina 25 mg,Institucional,1750,Alto,3
1980477,Miconazol,Miconazol 2 g,g,Tubo,Daktarin,Janssen,Daktarin (Janssen) - Tubo 30 g - Cada 100 g contiene: Miconazol 2 g,Comercial,38989,Medio,2
1980477,Miconazol,Miconazol 2 g,g,Tubo,Daktarin,Janssen,Daktarin (Janssen) - Tubo 30 g - Cada 100 g contiene: Miconazol 2 g,Institucional,32094.71429,Bajo,1
1980496,Metronidazol,Metronidazol 500 mg,mg,Tableta,Metronidazol,Tecnoquimicas,Metronidazol (Tecnoquimicas) - Cada Tableta contiene: Metronidazol 500 mg,Comercial,183.2376003,Medio,2
1980496,Metronidazol,Metronidazol 500 mg,mg,Tableta,Metronidazol,Tecnoquimicas,Metronidazol (Tecnoquimicas) - Cada Tableta contiene: Metronidazol 500 mg,Institucional,132,Medio,2
1980545,Amlodipino,Amlodipino 10 mg,mg,Tableta,Norvas,Pfizer,Norvas (Pfizer) - Cada Tableta contiene: Amlodipino 10 mg,Institucional,6609.660173,Alto,3
1980545,Amlodipino,Amlodipino 10 mg,mg,Tableta,Norvas,Pfizer,Norvas (Pfizer) - Cada Tableta contiene: Amlodipino 10 mg,Comercial,8743.394904,Alto,3
1980588,Guayacolato De Glicerilo,Guayacolato De Glicerilo 100 mg,ml,Frasco,Guayacolato De Glicerilo,Licol,Guayacolato De Glicerilo (Licol) - Frasco 120 ml - Cada 5 ml contiene: Guayacolato De Glicerilo 100 mg,Comercial,2582.254026,Medio,2
1980588,Guayacolato De Glicerilo,Guayacolato De Glicerilo 100 mg,ml,Frasco,Guayacolato De Glicerilo,Licol,Guayacolato De Glicerilo (Licol) - Frasco 120 ml - Cada 5 ml contiene: Guayacolato De Glicerilo 100 mg,Institucional,2086.534858,Medio,2
1980597,Cloruro De Potasio,Cloruro De Potasio 2 meq,ml,Ampolla,Cloruro De Potasio,Ryan,Cloruro De Potasio (Ryan) - Ampolla 10 ml - Cada 1 ml contiene: Cloruro De Potasio 2 meq,Institucional,1600,Medio,2
1980597,Cloruro De Potasio,Cloruro De Potasio 2 meq,ml,Ampolla,Cloruro De Potasio,Ryan,Cloruro De Potasio (Ryan) - Ampolla 10 ml - Cada 1 ml contiene: Cloruro De Potasio 2 meq,Comercial,1475,Medio,2
1980701,Ondansetron,Ondansetron 8 mg,mg,Tableta,Bryterol,Ropsohn,Bryterol (Ropsohn) - Cada Tableta contiene: Ondansetron 8 mg,Institucional,4859,Alto,3
1980747,Itraconazol,Itraconazol 10 mg,ml,Frasco,Sporanox,Janssen,Sporanox (Janssen) - Frasco 150 ml - Cada 1 ml contiene: Itraconazol 10 mg,Institucional,179330.454,Medio,2
1980782,Fluconazol,Fluconazol 150 mg,mg,Capsula,Fluconazol,Genfar,Fluconazol (Genfar) - Cada Capsula contiene: Fluconazol 150 mg,Comercial,1988.342421,Medio,2
1980782,Fluconazol,Fluconazol 150 mg,mg,Capsula,Fluconazol,Genfar,Fluconazol (Genfar) - Cada Capsula contiene: Fluconazol 150 mg,Institucional,806.281907,Bajo,1
1980804,Bromuro De Ipratropio,Bromuro De Ipratropio 25 mg,ml,Frasco,Atrovent,Boehringer,Atrovent (Boehringer) - Frasco 20 ml - Cada 100 ml contiene: Bromuro De Ipratropio 25 mg,Comercial,22149.97011,Medio,2
1980804,Bromuro De Ipratropio,Bromuro De Ipratropio 25 mg,ml,Frasco,Atrovent,Boehringer,Atrovent (Boehringer) - Frasco 20 ml - Cada 100 ml contiene: Bromuro De Ipratropio 25 mg,Institucional,21298.80983,Medio,2
1980805,Tetrinoina,"Tetrinoina 0,05 g",g,Tubo,Retacnyl Crema 0.05%,Galderma,"Retacnyl Crema 0.05% (Galderma) - Tubo 30 g - Cada 100 g contiene: Tetrinoina 0,05 g",Comercial,86357.15175,Alto,3
1980805,Tetrinoina,"Tetrinoina 0,05 g",g,Tubo,Retacnyl Crema 0.05%,Galderma,"Retacnyl Crema 0.05% (Galderma) - Tubo 30 g - Cada 100 g contiene: Tetrinoina 0,05 g",Institucional,58299,Alto,3
1980854,Albumina Humana,Albumina Humana 10 g,ml,Frasco,Albutein,Grifols,Albutein (Grifols) - Frasco 50 ml - Cada 50 ml contiene: Albumina Humana 10 g,Institucional,92917.72917,Bajo,1
1980885,Oxcarbazepina,Oxcarbazepina 300 mg,ml,Frasco,Trileptal,Novartis,Trileptal (Novartis) - Frasco 100 ml - Cada 5 ml contiene: Oxcarbazepina 300 mg,Comercial,26504,Medio,2
1980885,Oxcarbazepina,Oxcarbazepina 300 mg,ml,Frasco,Trileptal,Novartis,Trileptal (Novartis) - Frasco 100 ml - Cada 5 ml contiene: Oxcarbazepina 300 mg,Institucional,26504,Medio,2
1981018,Furosemida,Furosemida 40 mg,mg,Tableta,Furosemida,American Generics,Furosemida (American Generics) - Cada Tableta contiene: Furosemida 40 mg,Comercial,177.9691421,Medio,2
1981154,Nafazolina Y Feniramina,"Feniramina 3 ml + Nafazolina 0,25 ml",ml,Frasco,Oq - Fresh,Oftalmoquimica,"Oq - Fresh (Oftalmoquimica) - Frasco 5 ml - Cada 1 ml contiene: Feniramina 3 ml + Nafazolina 0,25 ml",Comercial,60479.72028,Medio,2
1981505,Gemfibrozilo,Gemfibrozilo 600 mg,mg,Tableta,Gemfibrozilo,Winthrop,Gemfibrozilo (Winthrop) - Cada Tableta contiene: Gemfibrozilo 600 mg,Comercial,651.240699,Medio,2
1981505,Gemfibrozilo,Gemfibrozilo 600 mg,mg,Tableta,Gemfibrozilo,Winthrop,Gemfibrozilo (Winthrop) - Cada Tableta contiene: Gemfibrozilo 600 mg,Institucional,151.8890327,Bajo,1
1981959,Lovastatina,Lovastatina 20 mg,mg,Tableta,Lovastatina,Novamed,Lovastatina (Novamed) - Cada Tableta contiene: Lovastatina 20 mg,Institucional,75.32653061,Medio,2
1982214,Dextrosa,Dextrosa 10 g,ml,Bolsa,Dextrosa Al 10%,Baxter,Dextrosa Al 10% (Baxter) - Bolsa 250 ml - Cada 100 ml contiene: Dextrosa 10 g,Comercial,2056.608108,Medio,2
1982214,Dextrosa,Dextrosa 10 g,ml,Bolsa,Dextrosa Al 10%,Baxter,Dextrosa Al 10% (Baxter) - Bolsa 250 ml - Cada 100 ml contiene: Dextrosa 10 g,Institucional,1973.933333,Medio,2
1982214,Dextrosa,Dextrosa 10 g,ml,Bolsa,Dextrosa Al 10%,Baxter,Dextrosa Al 10% (Baxter) - Bolsa 500 ml - Cada 100 ml contiene: Dextrosa 10 g,Comercial,1988.707946,Bajo,1
1982214,Dextrosa,Dextrosa 10 g,ml,Bolsa,Dextrosa Al 10%,Baxter,Dextrosa Al 10% (Baxter) - Bolsa 500 ml - Cada 100 ml contiene: Dextrosa 10 g,Institucional,1832.625,Bajo,1
1982542,Diclofenaco,Diclofenaco 1 g,g,Tubo,Diclofenaco,Genfar,Diclofenaco (Genfar) - Tubo 50 g - Cada 100 g contiene: Diclofenaco 1 g,Institucional,2983.559819,Bajo,1
1982997,Ketoprofeno,Ketoprofeno 100 mg,ml,Ampolla,Ketoprofeno,Genfar,Ketoprofeno (Genfar) - Ampolla 2 ml - Cada 2 ml contiene: Ketoprofeno 100 mg,Comercial,3231.825715,Bajo,1
1982997,Ketoprofeno,Ketoprofeno 100 mg,ml,Ampolla,Ketoprofeno,Genfar,Ketoprofeno (Genfar) - Ampolla 2 ml - Cada 2 ml contiene: Ketoprofeno 100 mg,Institucional,885.0519309,Medio,2
1983231,Albendazol,Albendazol 2 g,ml,Frasco,Helminzol,Biochem,Helminzol (Biochem) - Frasco 20 ml - Cada 100 ml contiene: Albendazol 2 g,Institucional,9305.900778,Alto,3
1983281,Acido Acetilsalicilico,Acido Acetilsalicilico 100 mg,mg,Tableta,Cardioaspirina,Bayer,Cardioaspirina (Bayer) - Cada Tableta contiene: Acido Acetilsalicilico 100 mg,Comercial,1529.9,Alto,3
1983281,Acido Acetilsalicilico,Acido Acetilsalicilico 100 mg,mg,Tableta,Cardioaspirina,Bayer,Cardioaspirina (Bayer) - Cada Tableta contiene: Acido Acetilsalicilico 100 mg,Institucional,898.7742402,Alto,3
1983590,Cefradina,Cefradina 1000 mg,mg,Tableta,Cefradina,Tecnoquimicas,Cefradina (Tecnoquimicas) - Cada Tableta contiene: Cefradina 1000 mg,Comercial,4812.681092,Medio,2
1983590,Cefradina,Cefradina 1000 mg,mg,Tableta,Cefradina,Tecnoquimicas,Cefradina (Tecnoquimicas) - Cada Tableta contiene: Cefradina 1000 mg,Institucional,2509.030418,Medio,2
1983607,Vitamina E,Vitamina E 400 IU,IU,Capsula,Aquasol E,Siegfried,Aquasol E (Siegfried) - Cada Capsula contiene: Vitamina E 400 IU,Comercial,1249.455903,Medio,2
1983607,Vitamina E,Vitamina E 400 IU,IU,Capsula,Aquasol E,Siegfried,Aquasol E (Siegfried) - Cada Capsula contiene: Vitamina E 400 IU,Institucional,192.405801,Bajo,1
1983645,Piroxicam,Piroxicam 20 mg,mg,Capsula,Piroxicam,Tecnoquimicas,Piroxicam (Tecnoquimicas) - Cada Capsula contiene: Piroxicam 20 mg,Comercial,315.8438544,Medio,2
