principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio,numerofactor
Clindamicina,Capsula,Clindamicina 300 mg,mg,Clindamicina,La Sante,1955.878578,Alto,3
Clindamicina,Capsula,Clindamicina 300 mg,mg,Clindamicina,La Sante,527.1507761,Medio,2
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,La Sante,476.1756318,Medio,2
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,La Sante,32.24734982,Bajo,1
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Winthrop,1030.9315,Medio,2
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Winthrop,66.08738859,Bajo,1
Amitriptilina,Tableta,Amitriptilina 25 mg,mg,Amitriptilina,Genfar,303.4302814,Medio,2
Amitriptilina,Tableta,Amitriptilina 25 mg,mg,Amitriptilina,Genfar,22.49526565,Bajo,1
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Genfar,390.2350859,Medio,2
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Genfar,66.81764567,Bajo,1
Zidovudina,Vial,Zidovudina 200 mg,mg,Retrovir,Glaxosmithkline,62779.76119,Medio,2
Tramadol,Capsula,Tramadol 50 mg,mg,Tramal,Grunenthal,4386.331034,Alto,3
Tramadol,Capsula,Tramadol 50 mg,mg,Tramal,Grunenthal,2422.698077,Alto,3
Tramadol,Ampolla,Tramadol 100 mg,ml,Tramal,Grunenthal,13511.43636,Alto,3
Tramadol,Ampolla,Tramadol 100 mg,ml,Tramal,Grunenthal,6952.787879,Alto,3
Tramadol,Ampolla,Tramadol 50 mg,ml,Tramal,Grunenthal,7238.761431,Medio,2
Tramadol,Ampolla,Tramadol 50 mg,ml,Tramal,Grunenthal,3501.544218,Alto,3
Tramadol,Frasco,Tramadol 100 mg,ml,Tramal,Grunenthal,87456.44785,Alto,3
Tramadol,Frasco,Tramadol 100 mg,ml,Tramal,Grunenthal,7988.248503,Alto,3
Mentol + Alcanfor + Salicilato De Metilo,Frasco,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Ungüento Mentol No. 2,Tecnofar,24051.28146,Alto,3
Mentol + Alcanfor + Salicilato De Metilo,Frasco,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Ungüento Mentol No. 2,Tecnofar,6630.531698,Bajo,1
Mentol + Alcanfor + Salicilato De Metilo,Frasco,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Ungüento Mentol No. 2,Tecnofar,9956.627092,Medio,2
Acetaminofen + Clorfeniramina + Fenilefrina,Sobre,Acetaminofen 500 mg + Maleato De Clorfeniramina 2 mg + Fenilefrina 10 mg,g,Pax Caliente Noche,Sanofi Aventis,1815,Medio,2
Algestona Y Estradiol,Ampolla,Estradiol 10 mg + Algestona Acetofenido 150 mg,mg,Synovular,Lafrancol,20167.07437,Medio,2
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,Pentacoop,117.1963225,Medio,2
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,Pentacoop,0.4155778894,Bajo,1
Ibuprofeno,Tableta,Ibuprofeno 800 mg,mg,Ibuprofeno,Genfar,238.3034485,Medio,2
Ibuprofeno,Tableta,Ibuprofeno 800 mg,mg,Ibuprofeno,Genfar,124.4648764,Bajo,1
Tinidazol,Tableta,Tinidazol 500 mg,mg,Tinidazol,Tecnoquimicas,541.2747873,Alto,3
Tinidazol,Tableta,Tinidazol 500 mg,mg,Tinidazol,Tecnoquimicas,278.4006515,Alto,3
Sulfametoxazol Y Trimetoprim,Frasco,Sulfametoxazol 4000 mg + Trimetoprim 800 mg,ml,Trimetoprim,Genfar,6758.429003,Alto,3
Cetirizina,Frasco,Cetirizina 1 mg,ml,Alerviden,Biochem,13929.83041,Medio,2
Claritromicina,Frasco,Claritromicina 250 mg,g,Claritromicina,La Sante,72838.48297,Alto,3
Claritromicina,Frasco,Claritromicina 250 mg,g,Claritromicina,La Sante,12971.05162,Bajo,1
Budesonida,Ampolla,"Budesonida 0,5 mg",ml,Pulmicort,Astrazeneca,10912.2,Medio,2
Budesonida,Ampolla,"Budesonida 0,5 mg",ml,Pulmicort,Astrazeneca,10912.2,Medio,2
Escherichia Coli,Capsula,Escherichia Coli 6 mg,mg,Uro-Vaxom,Om,7822.915359,Medio,2
Escherichia Coli,Capsula,Escherichia Coli 6 mg,mg,Uro-Vaxom,Om,3845.584391,Medio,2
Simeticona,Capsula,Simeticona 250 mg,mg,Digesta,Procaps,883.7351345,Medio,2
Simeticona,Capsula,Simeticona 250 mg,mg,Digesta,Procaps,326.5019577,Medio,2
Piperazina,Frasco,Piperazina 20 g,ml,Epulsarina,Cosmetipharma,11684.21053,Medio,2
Levodopa Y Carbidopa,Tableta,Levodopa 250 mg + Carbidopa 25 mg,mg,Carbidopa,Winthrop,1590.113355,Alto,3
Levodopa Y Carbidopa,Tableta,Levodopa 250 mg + Carbidopa 25 mg,mg,Carbidopa,Winthrop,216.9904138,Bajo,1
Clozapina,Tableta,Clozapina 25 mg,mg,Leponex,Mylan,1750,Alto,3
Clozapina,Tableta,Clozapina 25 mg,mg,Leponex,Mylan,1750,Alto,3
Miconazol,Tubo,Miconazol 2 g,g,Daktarin,Janssen,38989,Medio,2
Miconazol,Tubo,Miconazol 2 g,g,Daktarin,Janssen,32094.71429,Bajo,1
Metronidazol,Tableta,Metronidazol 500 mg,mg,Metronidazol,Tecnoquimicas,183.2376003,Medio,2
Metronidazol,Tableta,Metronidazol 500 mg,mg,Metronidazol,Tecnoquimicas,132,Medio,2
Amlodipino,Tableta,Amlodipino 10 mg,mg,Norvas,Pfizer,6609.660173,Alto,3
Amlodipino,Tableta,Amlodipino 10 mg,mg,Norvas,Pfizer,8743.394904,Alto,3
Guayacolato De Glicerilo,Frasco,Guayacolato De Glicerilo 100 mg,ml,Guayacolato De Glicerilo,Licol,2582.254026,Medio,2
Guayacolato De Glicerilo,Frasco,Guayacolato De Glicerilo 100 mg,ml,Guayacolato De Glicerilo,Licol,2086.534858,Medio,2
Cloruro De Potasio,Ampolla,Cloruro De Potasio 2 meq,ml,Cloruro De Potasio,Ryan,1600,Medio,2
Cloruro De Potasio,Ampolla,Cloruro De Potasio 2 meq,ml,Cloruro De Potasio,Ryan,1475,Medio,2
Ondansetron,Tableta,Ondansetron 8 mg,mg,Bryterol,Ropsohn,4859,Alto,3
Itraconazol,Frasco,Itraconazol 10 mg,ml,Sporanox,Janssen,179330.454,Medio,2
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Genfar,1988.342421,Medio,2
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Genfar,806.281907,Bajo,1
Bromuro De Ipratropio,Frasco,Bromuro De Ipratropio 25 mg,ml,Atrovent,Boehringer,22149.97011,Medio,2
Bromuro De Ipratropio,Frasco,Bromuro De Ipratropio 25 mg,ml,Atrovent,Boehringer,21298.80983,Medio,2
Tetrinoina,Tubo,"Tetrinoina 0,05 g",g,Retacnyl Crema 0.05%,Galderma,86357.15175,Alto,3
Tetrinoina,Tubo,"Tetrinoina 0,05 g",g,Retacnyl Crema 0.05%,Galderma,58299,Alto,3
Albumina Humana,Frasco,Albumina Humana 10 g,ml,Albutein,Grifols,92917.72917,Bajo,1
Oxcarbazepina,Frasco,Oxcarbazepina 300 mg,ml,Trileptal,Novartis,26504,Medio,2
Oxcarbazepina,Frasco,Oxcarbazepina 300 mg,ml,Trileptal,Novartis,26504,Medio,2
Furosemida,Tableta,Furosemida 40 mg,mg,Furosemida,American Generics,177.9691421,Medio,2
Nafazolina Y Feniramina,Frasco,"Feniramina 3 ml + Nafazolina 0,25 ml",ml,Oq - Fresh,Oftalmoquimica,60479.72028,Medio,2
Gemfibrozilo,Tableta,Gemfibrozilo 600 mg,mg,Gemfibrozilo,Winthrop,651.240699,Medio,2
Gemfibrozilo,Tableta,Gemfibrozilo 600 mg,mg,Gemfibrozilo,Winthrop,151.8890327,Bajo,1
Lovastatina,Tableta,Lovastatina 20 mg,mg,Lovastatina,Novamed,75.32653061,Medio,2
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,2056.608108,Medio,2
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,1973.933333,Medio,2
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,1988.707946,Bajo,1
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,1832.625,Bajo,1
Diclofenaco,Tubo,Diclofenaco 1 g,g,Diclofenaco,Genfar,2983.559819,Bajo,1
Ketoprofeno,Ampolla,Ketoprofeno 100 mg,ml,Ketoprofeno,Genfar,3231.825715,Bajo,1
Ketoprofeno,Ampolla,Ketoprofeno 100 mg,ml,Ketoprofeno,Genfar,885.0519309,Medio,2
Albendazol,Frasco,Albendazol 2 g,ml,Helminzol,Biochem,9305.900778,Alto,3
Acido Acetilsalicilico,Tableta,Acido Acetilsalicilico 100 mg,mg,Cardioaspirina,Bayer,1529.9,Alto,3
Acido Acetilsalicilico,Tableta,Acido Acetilsalicilico 100 mg,mg,Cardioaspirina,Bayer,898.7742402,Alto,3
Cefradina,Tableta,Cefradina 1000 mg,mg,Cefradina,Tecnoquimicas,4812.681092,Medio,2
Cefradina,Tableta,Cefradina 1000 mg,mg,Cefradina,Tecnoquimicas,2509.030418,Medio,2
Vitamina E,Capsula,Vitamina E 400 IU,IU,Aquasol E,Siegfried,1249.455903,Medio,2
Vitamina E,Capsula,Vitamina E 400 IU,IU,Aquasol E,Siegfried,192.405801,Bajo,1
Piroxicam,Capsula,Piroxicam 20 mg,mg,Piroxicam,Tecnoquimicas,315.8438544,Medio,2
Piroxicam,Capsula,Piroxicam 20 mg,mg,Piroxicam,Tecnoquimicas,182.1558407,Alto,3
Betametasona,Ampolla,Betametasona 4 mg,mg,Celestone,Merck,18734,Alto,3
Betametasona,Ampolla,Betametasona 4 mg,mg,Celestone,Merck,6560,Alto,3
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Colmed,646.6857809,Bajo,1
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Colmed,302.1052632,Bajo,1
Isoconazol,Ovulo,Isoconazol Nitrato 600 mg,mg,Ilana,Procaps,65437.03704,Medio,2
Isoconazol,Ovulo,Isoconazol Nitrato 600 mg,mg,Ilana,Procaps,10091.3486,Medio,2
Isoconazol,Tubo,Isoconazol Nitrato 1 g,g,Ilana,Procaps,62823.34294,Bajo,1
Isoconazol,Tubo,Isoconazol Nitrato 1 g,g,Ilana,Procaps,11556.3543,Bajo,1
Isoconazol,Tubo,Isoconazol Nitrato 1 g,g,Ilana,Procaps,71462.5,Alto,3
Isoconazol,Tubo,Isoconazol Nitrato 1 g,g,Ilana,Procaps,12710,Alto,3
Diclofenaco E Hidroxido De Aluminio,Capsula,Hidroxido De Aluminio 200 mg + Diclofenaco 100 mg,mg,Diclofenaco,Procaps,949.1201717,Medio,2
Diclofenaco E Hidroxido De Aluminio,Capsula,Hidroxido De Aluminio 200 mg + Diclofenaco 100 mg,mg,Diclofenaco,Procaps,230,Medio,2
Rocuronio Bromuro,Vial,Rocuronio Bromuro 50 mg,ml,Esmeron,Merck,34350,Alto,3
Rocuronio Bromuro,Vial,Rocuronio Bromuro 50 mg,ml,Esmeron,Merck,16322.36199,Alto,3
Cefalexina,Tableta,Cefalexina 500 mg,mg,Cefalexina,Lafrancol,492.0542037,Bajo,1
Cefradina,Capsula,Cefradina 500 mg,mg,Cefradina,Lafrancol,854,Medio,2
Cefradina,Capsula,Cefradina 500 mg,mg,Cefradina,Lafrancol,856.9860348,Bajo,1
Haloperidol,Tableta,Haloperidol 5 mg,mg,Haloperidol,Memphis,299.0476994,Alto,3
Haloperidol,Tableta,Haloperidol 5 mg,mg,Haloperidol,Memphis,2.8,Bajo,1
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,La Sante,704.3048736,Medio,2
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,La Sante,272.3078421,Medio,2
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,Tecnoquimicas,676.2855539,Medio,2
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,Tecnoquimicas,504.731684,Alto,3
Ibuprofeno,Frasco,Ibuprofeno 2 g,ml,Ibuprofeno,American Generics,5989.724389,Bajo,1
Tinidazol,Tableta,Tinidazol 1 g,g,Tinidazol,Genfar,736.9594825,Bajo,1
Tinidazol,Tableta,Tinidazol 1 g,g,Tinidazol,Genfar,441.4046108,Alto,3
Cefotaxima,Vial,Cefotaxima 1 g,g,Cefotaxima,Vitalis,5400,Medio,2
Cefotaxima,Vial,Cefotaxima 1 g,g,Cefotaxima,Vitalis,5137.146283,Medio,2
Aceite De Oliva Y Aceite De Soya,Bolsa,Aceite De Oliva Y Aceite De Soya 20 g,ml,Clinoleic,Baxter,64416,Medio,2
Aceite De Oliva Y Aceite De Soya,Bolsa,Aceite De Oliva Y Aceite De Soya 20 g,ml,Clinoleic,Baxter,54483.76471,Medio,2
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Tecnofar,864.7983554,Medio,2
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Tecnofar,721.4897004,Medio,2
Benzidamina,Tableta,Bencidamina 3 mg,mg,Benzirin,Aziende,1681.636137,Medio,2
Benzidamina,Tableta,Bencidamina 3 mg,mg,Benzirin,Aziende,1614,Medio,2
Cefuroxima,Vial,Cefuroxima 750 mg,mg,Cefuroxima,Vitalis,6074.10411,Medio,2
Factor Xiii De Coagulacion,Vial,Factor Xiii De Coagulacion,ml,Beriplast,Csl,165006,Medio,2
Factor Xiii Combinaciones,Vial,Factor Xiii Combinaciones,ml,Beriplast,Csl,220008,Medio,2
L-Ornitina-L-Aspartatato,Sobre,L-Ornitina-L-Aspartatato 3 g,g,Hepa- Merz,Merz Pharmaceuticals,5656,Medio,2
L-Ornitina-L-Aspartatato,Sobre,L-Ornitina-L-Aspartatato 3 g,g,Hepa- Merz,Merz Pharmaceuticals,5656,Medio,2
Dexametasona + Gentamicina + Ketoconazol,Tubo,"Ketoconazol 2 g + Dexametasona 0,04 g + Gentamicina 0,1 g",g,Dermatrex,Farma,25286.69245,Medio,2
Dexametasona + Gentamicina + Ketoconazol,Tubo,"Ketoconazol 2 g + Dexametasona 0,04 g + Gentamicina 0,1 g",g,Dermatrex,Farma,28219,Medio,2
L-Ornitina-L-Aspartatato,Ampolla,L-Ornitina-L-Aspartatato 5 g,ml,Hepa-Merz,Merz Pharmaceuticals,47680,Medio,2
L-Ornitina-L-Aspartatato,Ampolla,L-Ornitina-L-Aspartatato 5 g,ml,Hepa-Merz,Merz Pharmaceuticals,23163.39833,Medio,2
Hidroclorotiazida Y Losartan,Tableta,"Hidroclorotiazida 12,5 mg + Losartan 50 mg",mg,Satoren,Bussié,6832.877778,Medio,2
Hidroclorotiazida Y Losartan,Tableta,"Hidroclorotiazida 12,5 mg + Losartan 50 mg",mg,Satoren,Bussié,66.52033983,Bajo,1
Levonorgestrel,Implante Intrauterino,Levonorgestrel 52 mg,mg,Mirena,Bayer,397348,Medio,2
Levonorgestrel,Implante Intrauterino,Levonorgestrel 52 mg,mg,Mirena,Bayer,397348,Medio,2
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Motrin,Pfizer,1157,Alto,3
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Motrin,Pfizer,803.6190476,Medio,2
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Motrin,Pfizer,1993,Medio,2
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Motrin,Pfizer,1442,Alto,3
Salbutamol,Aerosol,Salbutamol 100 mcg,dosis,Ventilan Osp,Glaxosmithkline,18920,Alto,3
Salbutamol,Aerosol,Salbutamol 100 mcg,dosis,Ventilan Osp,Glaxosmithkline,8102.019477,Medio,2
Vitaminas Liposolubles,Ampolla,Vitaminas Liposolubles,ml,Vitalipid - Ninfant,Fresenius,688.9172466,Bajo,1
Vitaminas Liposolubles,Ampolla,Vitaminas Liposolubles,ml,Vitalipid - Adult,Fresenius,979.4694809,Alto,3
Celecoxib,Capsula,Celecoxib 200 mg,mg,Celebrex,Pfizer,1350.785345,Medio,2
Celecoxib,Capsula,Celecoxib 200 mg,mg,Celebrex,Pfizer,1304.067873,Alto,3
Calcio Gluconato,Ampolla,"Calcio Gluconato 0,95 g",ml,Gluconato De Calcio,Sanderson,15.30842105,Medio,2
Biperideno,Tableta,Biperideno 2 mg,mg,Biperideno,Tecnoquimicas,483.3697556,Alto,3
Biperideno,Tableta,Biperideno 2 mg,mg,Biperideno,Tecnoquimicas,147.9246484,Bajo,1
Ciprofloxacina,Frasco,Ciprofloxacina 3 mg,mg,Otosec,Siegfried,49706.10953,Medio,2
Ciprofloxacina,Frasco,Ciprofloxacina 3 mg,mg,Otosec,Siegfried,12331.16359,Medio,2
Dopamina,Ampolla,Dopamina 200 mg,ml,Dopamina Clorhidrato,Sanderson,11.781,Bajo,1
Acetaminofen Y Cafeina,Tableta,Cafeina 50 mg + Acetaminofen 500 mg,mg,Dolofen Forte,Procaps,1010,Alto,3
Acetaminofen Y Cafeina,Tableta,Cafeina 50 mg + Acetaminofen 500 mg,mg,Dolofen Forte,Procaps,264.5098039,Medio,2
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,5849.759884,Bajo,1
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,11528.78765,Medio,2
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,23955.06,Alto,3
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,6216.731887,Medio,2
Elementos Traza,Vial,Elementos Traza,ml,Peditrace,Fresenius,3959.068356,Medio,2
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Memphis,1293.087482,Bajo,1
Metoprolol,Tableta,Metoprolol 200 mg,mg,Betaloc Zok,Astrazeneca,2040,Medio,2
Metoprolol,Tableta,Metoprolol 200 mg,mg,Betaloc Zok,Astrazeneca,2005.287356,Medio,2
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,Memphis,2018.225878,Bajo,1
Hidroxicarbamida,Capsula,Hidroxiurea 500 mg,mg,Hydroxyurea,Medac,14.05119735,Bajo,1
Hidroxicarbamida,Capsula,Hidroxiurea 500 mg,mg,Hydroxyurea,Medac,14.01991512,Bajo,1
Telmisartan,Tableta,Telmisartan 80 mg,mg,Micardis,Boehringer,953.6334955,Medio,2
Telmisartan,Tableta,Telmisartan 80 mg,mg,Micardis,Boehringer,889.851872,Alto,3
Tamsulosina,Capsula,"Tamsulosina 0,4 mg",mg,Tamsulon,Monte Verde,5187.420369,Medio,2
Tamsulosina,Capsula,"Tamsulosina 0,4 mg",mg,Tamsulon,Monte Verde,907.7196429,Medio,2
Mentol + Alcanfor + Eucalipto,Frasco,"Alcanfor 5,26 g + Mentol 2,82 g + Aceite De Eucalipto 1,33 g",g,Vick Vaporub,Procter & Gamble,3904.960978,Bajo,1
Mentol + Alcanfor + Eucalipto,Frasco,"Alcanfor 5,26 g + Mentol 2,82 g + Aceite De Eucalipto 1,33 g",g,Vick Vaporub,Procter & Gamble,16378.69805,Alto,3
Moxifloxacina,Tableta,Moxifloxacina 400 mg,mg,Avelox,Bayer,32556.8,Alto,3
Moxifloxacina,Tableta,Moxifloxacina 400 mg,mg,Avelox,Bayer,8196,Alto,3
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorvastatina,Procaps,720.4896043,Medio,2
Mebeverina,Capsula,Mebeverina 200 mg,mg,Duspatalin,Lafrancol,6255.417293,Alto,3
Mebeverina,Capsula,Mebeverina 200 mg,mg,Duspatalin,Lafrancol,3600,Medio,2
Estrogenos Conjugados,Tableta,"Estrogenos Conjugados 0,625 mg",mg,Estermax,Chalver,886.25,Medio,2
Estrogenos Conjugados,Tableta,"Estrogenos Conjugados 0,625 mg",mg,Estermax,Chalver,471.3378597,Medio,2
Ciproterone Y Etinilestradiol,Tableta,"Etinilestradiol 0,035 mg + Ciproterona Acetato 2 mg",mg,Facetix,Synthesis,401.9728276,Bajo,1
Ciproterone Y Etinilestradiol,Tableta,"Etinilestradiol 0,035 mg + Ciproterona Acetato 2 mg",mg,Facetix,Synthesis,393.4540943,Alto,3
Lorazepam,Tableta,Lorazepam 2 mg,mg,Ativan,Pfizer,1430,Alto,3
Lorazepam,Tableta,Lorazepam 2 mg,mg,Ativan,Pfizer,586.8670213,Alto,3
Lorazepam,Tableta,Lorazepam 1 mg,mg,Ativan,Pfizer,758,Medio,2
Lorazepam,Tableta,Lorazepam 1 mg,mg,Ativan,Pfizer,378.2738128,Medio,2
Dactinomicina,Vial,"Dactinomicina 0,5 mg",mg,Dactinomicina,Korea United Pharm,84782.6032,Medio,2
Dactinomicina,Vial,"Dactinomicina 0,5 mg",mg,Dactinomicina,Korea United Pharm,78476.17734,Medio,2
Diclofenaco,Tableta,Diclofenaco 50 mg,mg,Diclofenaco,Genfar,117.1048024,Medio,2
Diclofenaco,Tableta,Diclofenaco 50 mg,mg,Diclofenaco,Genfar,43.56070247,Medio,2
Hidroclorotiazida Y Amlodipino,Tableta,"Hidroclorotiazida 12,5 mg + Amlodipino 5 mg",mg,Amdipin H,Lafrancol,9447.321818,Medio,2
Hidroclorotiazida Y Amlodipino,Tableta,"Hidroclorotiazida 12,5 mg + Amlodipino 5 mg",mg,Amdipin H,Lafrancol,2948.538067,Medio,2
Hidroclorotiazida Y Amlodipino,Tableta,Hidroclorotiazida 25 mg + Amlodipino 10 mg,mg,Amdipin H,Lafrancol,13399.1,Medio,2
Hidroclorotiazida Y Amlodipino,Tableta,Hidroclorotiazida 25 mg + Amlodipino 10 mg,mg,Amdipin H,Lafrancol,5371.459055,Medio,2
Salmeterol Y Fluticasona,Inhalador,Fluticasona 500 mcg + Salmeterol 50 mcg,mcg,Seretide Diskus,Glaxosmithkline,99219.07262,Medio,2
Salmeterol Y Fluticasona,Inhalador,Fluticasona 500 mcg + Salmeterol 50 mcg,mcg,Seretide Diskus,Glaxosmithkline,37522.63727,Medio,2
Salmeterol Y Fluticasona,Inhalador,Fluticasona 100 mcg + Salmeterol 50 mcg,mcg,Seretide Diskus,Glaxosmithkline,67181.44153,Medio,2
Salmeterol Y Fluticasona,Inhalador,Fluticasona 100 mcg + Salmeterol 50 mcg,mcg,Seretide Diskus,Glaxosmithkline,62390.12744,Medio,2
Bupivacaina,Ampolla,"Levobupivacaina 7,5 mg",ml,"Bupinest 0,75%",Ropsohn,8285.389327,Medio,2
Progesterona,Capsula,Progesterona 100 mg,mg,Geslutin Pnm,Asofarma,4352.452998,Medio,2
Acido Salicilico,Tubo,Acido Salicilico 53 g,g,Matacallos Vencedor,Anglopharma,4244.637681,Medio,2
Acido Salicilico,Tubo,Acido Salicilico 53 g,g,Matacallos Vencedor,Anglopharma,3933.333333,Medio,2
Pamoato De Pirantel,Tableta,Pirantel 250 mg,mg,Pirantel,Genfar,519.7096427,Bajo,1
